Recency,Frequency,Monetary,Cluster,Segment
13,4,1119.49,1,Regular Customers
24,2,470.8,1,Regular Customers
82,1,115.46000000000001,1,Regular Customers
10,2,344.0,1,Regular Customers
192,1,228.8,2,At-Risk Customers
267,1,177.15,2,At-Risk Customers
130,1,919.61,1,Regular Customers
1,4,729.27,1,Regular Customers
4,5,220.10000000000002,1,Regular Customers
179,1,58.08,2,At-Risk Customers
4,2,303.75,1,Regular Customers
158,2,416.08000000000004,2,At-Risk Customers
28,1,345.82,1,Regular Customers
71,5,477.83,1,Regular Customers
71,1,74.39999999999999,1,Regular Customers
99,1,207.35999999999999,1,Regular Customers
234,1,101.19,2,At-Risk Customers
40,1,243.94,1,Regular Customers
3,6,1098.48,0,High Value Customers
133,1,76.5,2,At-Risk Customers
44,4,1531.6200000000001,0,High Value Customers
60,2,786.54,1,Regular Customers
31,7,1488.67,0,High Value Customers
12,4,2294.78,0,High Value Customers
138,1,501.14,2,At-Risk Customers
22,8,984.91,0,High Value Customers
20,5,1197.81,0,High Value Customers
239,1,30.599999999999998,2,At-Risk Customers
269,1,283.73,2,At-Risk Customers
94,2,922.39,1,Regular Customers
5,8,2099.64,0,High Value Customers
78,1,259.17,1,Regular Customers
94,1,64.0,1,Regular Customers
23,3,1073.3,1,Regular Customers
262,1,77.3,2,At-Risk Customers
274,2,109.8,2,At-Risk Customers
86,4,1793.58,0,High Value Customers
56,5,2607.61,0,High Value Customers
22,6,962.39,0,High Value Customers
108,3,423.72,1,Regular Customers
85,5,2388.75,0,High Value Customers
19,1,307.09,1,Regular Customers
40,4,618.52,1,Regular Customers
26,1,228.91,1,Regular Customers
10,4,712.8000000000001,1,Regular Customers
14,4,1676.06,0,High Value Customers
296,1,1257.8700000000001,2,At-Risk Customers
6,1,486.22,1,Regular Customers
33,4,971.76,1,Regular Customers
49,4,1741.22,0,High Value Customers
95,4,1201.06,0,High Value Customers
9,4,1437.85,0,High Value Customers
22,1,91.8,1,Regular Customers
313,1,112.75,2,At-Risk Customers
122,4,1688.29,0,High Value Customers
46,2,1021.48,1,Regular Customers
283,1,417.2,2,At-Risk Customers
19,4,791.33,1,Regular Customers
36,4,1319.19,0,High Value Customers
64,2,712.88,1,Regular Customers
27,1,116.00999999999999,1,Regular Customers
22,3,468.41,1,Regular Customers
4,2,353.65,1,Regular Customers
16,3,2817.03,0,High Value Customers
46,1,492.84,1,Regular Customers
65,1,282.45,1,Regular Customers
45,1,121.18,1,Regular Customers
15,10,1701.29,0,High Value Customers
268,1,71.4,2,At-Risk Customers
40,3,1575.89,0,High Value Customers
11,1,114.60000000000001,1,Regular Customers
19,2,260.68,1,Regular Customers
95,2,911.94,1,Regular Customers
61,1,117.88,1,Regular Customers
136,1,60.7,2,At-Risk Customers
11,4,1797.78,0,High Value Customers
19,4,870.09,1,Regular Customers
10,4,869.46,1,Regular Customers
15,2,250.26000000000002,1,Regular Customers
59,6,1223.9,0,High Value Customers
94,1,353.48,1,Regular Customers
10,3,1197.42,1,Regular Customers
20,3,788.08,1,Regular Customers
57,5,1520.58,0,High Value Customers
268,1,333.74,2,At-Risk Customers
122,3,533.98,1,Regular Customers
127,1,62.63999999999999,1,Regular Customers
78,4,819.2900000000001,1,Regular Customers
240,2,847.41,2,At-Risk Customers
200,2,163.20000000000002,2,At-Risk Customers
60,2,2155.95,0,High Value Customers
273,1,108.21000000000001,2,At-Risk Customers
202,1,257.7,2,At-Risk Customers
81,1,358.0,1,Regular Customers
226,1,160.95,2,At-Risk Customers
13,7,1357.6,0,High Value Customers
74,2,605.12,1,Regular Customers
212,1,1031.07,2,At-Risk Customers
25,2,744.85,1,Regular Customers
17,4,700.73,1,Regular Customers
262,1,329.56,2,At-Risk Customers
96,4,663.65,1,Regular Customers
112,3,270.40000000000003,1,Regular Customers
203,1,600.07,2,At-Risk Customers
93,1,121.74000000000001,1,Regular Customers
51,1,430.5,1,Regular Customers
18,6,1987.3,0,High Value Customers
18,4,501.12,1,Regular Customers
125,2,465.68,1,Regular Customers
92,3,711.41,1,Regular Customers
157,2,1030.4,2,At-Risk Customers
9,2,399.51,1,Regular Customers
12,3,698.58,1,Regular Customers
62,1,292.32,1,Regular Customers
61,1,557.62,1,Regular Customers
269,2,944.1,2,At-Risk Customers
263,1,200.29,2,At-Risk Customers
53,5,2107.66,0,High Value Customers
37,1,217.38,1,Regular Customers
31,2,276.56,1,Regular Customers
113,1,138.98,1,Regular Customers
64,2,590.9300000000001,1,Regular Customers
16,4,258.4,1,Regular Customers
41,1,542.73,1,Regular Customers
78,1,137.75,1,Regular Customers
122,3,814.86,1,Regular Customers
18,3,1132.14,1,Regular Customers
60,2,93.66,1,Regular Customers
23,4,2709.12,0,High Value Customers
156,1,361.11,2,At-Risk Customers
39,2,578.9399999999999,1,Regular Customers
190,2,873.74,2,At-Risk Customers
137,1,87.4,2,At-Risk Customers
8,4,2089.85,0,High Value Customers
1,1,360.0,1,Regular Customers
268,1,142.5,2,At-Risk Customers
169,1,371.89,2,At-Risk Customers
104,4,618.09,1,Regular Customers
155,1,63.75,2,At-Risk Customers
4,10,2000.86,0,High Value Customers
120,1,15.0,1,Regular Customers
23,3,1385.51,1,Regular Customers
7,5,1456.79,0,High Value Customers
28,3,1132.03,1,Regular Customers
4,2,598.57,1,Regular Customers
22,5,1555.32,0,High Value Customers
2,3,775.94,1,Regular Customers
66,6,2273.68,0,High Value Customers
1,3,640.76,1,Regular Customers
78,4,1548.7,0,High Value Customers
72,2,567.36,1,Regular Customers
17,1,199.48000000000002,1,Regular Customers
3,5,787.85,1,Regular Customers
82,1,675.3,1,Regular Customers
316,1,1308.48,2,At-Risk Customers
32,2,789.0,1,Regular Customers
93,3,1140.93,1,Regular Customers
14,1,350.9,1,Regular Customers
77,1,795.12,1,Regular Customers
158,1,487.02,2,At-Risk Customers
201,1,860.12,2,At-Risk Customers
261,1,775.85,2,At-Risk Customers
178,1,353.43,2,At-Risk Customers
68,3,2543.72,0,High Value Customers
288,1,389.5,2,At-Risk Customers
70,1,341.36,1,Regular Customers
64,1,233.76,1,Regular Customers
11,1,247.32,1,Regular Customers
16,2,979.12,1,Regular Customers
66,1,373.94,1,Regular Customers
60,1,397.97999999999996,1,Regular Customers
71,1,743.53,1,Regular Customers
122,1,674.7,1,Regular Customers
80,1,768.24,1,Regular Customers
257,1,609.95,2,At-Risk Customers
269,1,439.03,2,At-Risk Customers
64,1,439.56,1,Regular Customers
18,2,992.5,1,Regular Customers
71,1,134.95999999999998,1,Regular Customers
34,2,2225.37,0,High Value Customers
50,1,56.160000000000004,1,Regular Customers
257,2,623.4,2,At-Risk Customers
90,1,378.64,1,Regular Customers
89,1,778.65,1,Regular Customers
99,3,1019.76,1,Regular Customers
26,3,572.56,1,Regular Customers
281,1,222.99,2,At-Risk Customers
131,2,677.1,1,Regular Customers
11,3,797.96,1,Regular Customers
75,1,544.08,1,Regular Customers
204,1,59.8,2,At-Risk Customers
2,8,2520.02,0,High Value Customers
185,1,307.72,2,At-Risk Customers
29,2,1360.99,1,Regular Customers
73,5,1544.13,0,High Value Customers
192,1,457.34,2,At-Risk Customers
127,2,621.23,1,Regular Customers
18,1,75.0,1,Regular Customers
1,2,252.49,1,Regular Customers
74,3,572.451,1,Regular Customers
24,5,1003.06,0,High Value Customers
107,1,213.55,1,Regular Customers
134,3,1390.5,1,Regular Customers
44,2,712.5,1,Regular Customers
5,2,640.83,1,Regular Customers
64,1,221.06,1,Regular Customers
150,2,159.85,2,At-Risk Customers
40,2,1851.08,0,High Value Customers
64,1,2626.3,0,High Value Customers
108,3,1624.21,0,High Value Customers
19,3,582.6,1,Regular Customers
10,1,218.47,1,Regular Customers
11,4,1006.8,1,Regular Customers
19,2,679.45,1,Regular Customers
67,2,1269.1,1,Regular Customers
74,2,534.24,1,Regular Customers
2,1,196.89,1,Regular Customers
255,1,283.71,2,At-Risk Customers
92,1,296.64,1,Regular Customers
23,3,1129.14,1,Regular Customers
24,1,291.88,1,Regular Customers
27,6,2043.7199999999998,0,High Value Customers
26,5,2976.15,0,High Value Customers
259,2,590.0,2,At-Risk Customers
166,2,356.97999999999996,2,At-Risk Customers
25,2,1058.34,1,Regular Customers
18,6,1766.72,0,High Value Customers
29,2,183.44,1,Regular Customers
39,3,1445.0,1,Regular Customers
253,1,151.5,2,At-Risk Customers
58,1,674.68,1,Regular Customers
184,1,307.9,2,At-Risk Customers
11,2,1083.71,1,Regular Customers
99,2,165.0,1,Regular Customers
1,4,2531.58,0,High Value Customers
61,2,422.64,1,Regular Customers
236,1,229.59,2,At-Risk Customers
191,4,1431.78,2,At-Risk Customers
179,2,1238.47,2,At-Risk Customers
38,6,1454.58,0,High Value Customers
201,2,300.95,2,At-Risk Customers
46,5,1804.56,0,High Value Customers
232,1,184.64,2,At-Risk Customers
66,1,140.34,1,Regular Customers
241,1,313.8,2,At-Risk Customers
233,1,454.24,2,At-Risk Customers
78,3,1122.41,1,Regular Customers
58,3,575.4,1,Regular Customers
105,4,449.52,1,Regular Customers
52,10,1215.82,0,High Value Customers
136,3,1269.84,1,Regular Customers
275,2,618.63,2,At-Risk Customers
312,1,316.26000000000005,2,At-Risk Customers
8,5,2044.8700000000001,0,High Value Customers
11,2,653.33,1,Regular Customers
283,2,348.05,2,At-Risk Customers
18,5,1159.11,0,High Value Customers
23,3,1166.77,1,Regular Customers
288,1,1340.32,2,At-Risk Customers
17,3,292.0,1,Regular Customers
71,1,216.85,1,Regular Customers
64,1,295.93,1,Regular Customers
316,2,458.52,2,At-Risk Customers
3,4,2479.16,0,High Value Customers
244,1,110.97,2,At-Risk Customers
9,7,979.72,0,High Value Customers
1,4,1791.56,0,High Value Customers
261,1,251.21,2,At-Risk Customers
127,1,205.1,1,Regular Customers
74,1,152.20000000000002,1,Regular Customers
73,4,891.12,1,Regular Customers
21,3,1389.41,1,Regular Customers
60,3,2128.42,0,High Value Customers
86,1,659.4399999999999,1,Regular Customers
78,1,122.75,1,Regular Customers
1,3,1093.65,1,Regular Customers
30,1,125.80000000000001,1,Regular Customers
41,5,680.1800000000001,1,Regular Customers
15,2,628.78,1,Regular Customers
34,7,2287.51,0,High Value Customers
79,2,307.76,1,Regular Customers
205,2,483.8,2,At-Risk Customers
34,1,210.31,1,Regular Customers
183,3,270.79,2,At-Risk Customers
43,7,1280.85,0,High Value Customers
86,3,631.34,1,Regular Customers
40,2,291.41,1,Regular Customers
12,3,626.99,1,Regular Customers
96,2,682.41,1,Regular Customers
26,7,918.2,0,High Value Customers
319,1,91.80000000000001,2,At-Risk Customers
28,2,584.06,1,Regular Customers
6,4,605.06,1,Regular Customers
7,1,174.37,1,Regular Customers
216,1,141.85999999999999,2,At-Risk Customers
82,3,1799.33,0,High Value Customers
84,2,777.53,1,Regular Customers
144,3,1749.02,0,High Value Customers
19,2,240.22,1,Regular Customers
41,2,874.71,1,Regular Customers
173,1,192.85,2,At-Risk Customers
17,2,373.75,1,Regular Customers
243,1,239.49,2,At-Risk Customers
206,1,1384.25,2,At-Risk Customers
50,2,294.4,1,Regular Customers
23,5,732.0699999999999,1,Regular Customers
25,4,1687.6000000000001,0,High Value Customers
15,2,467.04,1,Regular Customers
309,1,118.0,2,At-Risk Customers
156,1,781.03,2,At-Risk Customers
307,1,142.4,2,At-Risk Customers
64,1,712.4,1,Regular Customers
16,9,2478.95,0,High Value Customers
15,2,379.65,1,Regular Customers
11,6,1981.92,0,High Value Customers
65,3,1117.13,1,Regular Customers
36,4,247.95999999999998,1,Regular Customers
108,5,2037.0800000000002,0,High Value Customers
53,1,396.97,1,Regular Customers
6,2,697.04,1,Regular Customers
47,1,180.17000000000002,1,Regular Customers
312,1,219.52,2,At-Risk Customers
45,2,693.32,1,Regular Customers
65,1,428.89,1,Regular Customers
26,1,164.34,1,Regular Customers
29,3,280.53999999999996,1,Regular Customers
40,1,678.01,1,Regular Customers
12,7,1131.88,0,High Value Customers
89,3,1171.8,1,Regular Customers
24,4,1610.46,0,High Value Customers
319,1,417.69,2,At-Risk Customers
40,3,544.18,1,Regular Customers
174,1,177.34,2,At-Risk Customers
117,1,213.85,1,Regular Customers
31,5,747.78,1,Regular Customers
253,1,257.23,2,At-Risk Customers
59,5,1638.47,0,High Value Customers
5,7,2031.78,0,High Value Customers
25,5,2121.27,0,High Value Customers
33,5,1575.16,0,High Value Customers
68,1,1071.03,1,Regular Customers
37,5,949.12,0,High Value Customers
52,3,810.5,1,Regular Customers
16,1,122.64,1,Regular Customers
74,1,1033.34,1,Regular Customers
216,1,354.8,2,At-Risk Customers
31,3,519.44,1,Regular Customers
16,4,2624.26,0,High Value Customers
120,1,252.1,1,Regular Customers
10,4,1678.1200000000001,0,High Value Customers
